,Title,Year,Length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short 
2690,Anna Karenina,1934,89,NA,5.6,5,24.5,0,0,0,0,24.5,44.5,0,0,24.5,,0,0,0,1,0,0,0
2691,Anna Karenina,1935,95,1152000,7.3,476,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
2692,Anna Karenina,1948,111,NA,6.2,211,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
2693,Anna Karenina,1967,145,NA,6.9,36,4.5,0,0,4.5,14.5,14.5,4.5,14.5,14.5,24.5,,0,0,0,1,0,1,0
2694,Anna Karenina,1997,108,NA,5.6,706,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,PG-13,0,0,0,1,0,1,0
2695,Anna Lans,1943,120,NA,7.9,5,0,0,0,24.5,0,24.5,44.5,0,0,24.5,,0,0,0,1,0,0,0
2696,Anna Lucasta,1949,86,NA,5.9,18,0,0,0,24.5,14.5,14.5,34.5,4.5,14.5,0,,0,0,0,1,0,0,0
2697,Anna Lucasta,1959,97,NA,5.9,37,0,0,4.5,4.5,4.5,24.5,24.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
2698,Anna Obsessed,1977,75,NA,5.8,16,4.5,0,4.5,4.5,4.5,34.5,0,4.5,14.5,14.5,,0,0,0,1,0,0,0
2699,Anna Oz,1996,98,NA,5.6,57,4.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,14.5,24.5,,0,0,0,0,0,0,0
2700,Anna Pavlova,1983,133,NA,6.3,26,4.5,0,0,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
2701,Anna Wunder,2000,98,NA,6,18,0,0,4.5,14.5,24.5,14.5,14.5,4.5,14.5,0,,0,0,0,1,0,0,0
2702,Anna and the King,1999,148,75000000,6.6,6739,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,PG-13,0,0,0,1,0,1,0
2703,Anna and the King of Siam,1946,128,NA,7.1,271,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,1,0
2704,Anna di Brooklyn,1958,101,NA,4.8,11,4.5,0,4.5,0,14.5,24.5,4.5,0,0,24.5,,0,0,1,0,0,0,0
2705,Anna in the Sky,1997,10,NA,3.9,19,14.5,4.5,0,0,34.5,24.5,4.5,0,4.5,24.5,,0,0,0,0,0,0,1
2706,Anna na shee,1954,82,NA,6,15,0,0,0,4.5,4.5,4.5,14.5,24.5,24.5,14.5,,0,0,0,1,0,0,0
2707,"Anna, De",1983,90,NA,4.6,8,14.5,0,0,14.5,14.5,34.5,0,0,0,24.5,,0,0,0,0,0,0,0
2708,Anna: Ot shesti do vosemnadtsati,1993,100,NA,7.6,134,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,0,1,0,0
2709,Annabel Takes a Tour,1938,67,NA,5.1,28,0,4.5,4.5,14.5,34.5,14.5,14.5,4.5,0,4.5,,0,0,1,0,0,0,0
2710,Annapolis Salute,1937,65,NA,5.4,16,0,0,14.5,14.5,4.5,4.5,34.5,4.5,0,4.5,,0,0,0,1,0,1,0
2711,"Annapolis Story, An",1955,81,NA,5.1,30,4.5,14.5,0,14.5,44.5,14.5,4.5,14.5,0,4.5,,0,0,0,1,0,0,0
2712,Annas Sommer,2001,107,NA,5.8,37,4.5,4.5,4.5,4.5,4.5,24.5,24.5,4.5,14.5,0,,0,0,0,1,0,0,0
2713,Annas dag,2003,30,NA,5.7,8,0,0,0,0,24.5,24.5,14.5,0,34.5,0,,0,0,0,0,0,0,1
2714,Anne Frank's Diary,1999,88,NA,6.6,35,0,4.5,0,4.5,4.5,24.5,24.5,14.5,4.5,24.5,,0,1,0,0,0,0,0
2715,Anne Trister,1986,103,NA,6.4,40,4.5,4.5,0,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
2716,Anne no nikki,1995,102,NA,7.5,7,14.5,0,0,0,0,0,44.5,14.5,0,24.5,,0,1,0,0,0,0,0
2717,Anne of Green Gables,1919,60,NA,9.1,19,14.5,0,0,0,4.5,0,0,0,14.5,64.5,,0,0,1,1,0,0,0
2718,Anne of Green Gables,1934,78,NA,7.1,146,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,4.5,14.5,,0,0,1,1,0,0,0
2719,Anne of Windy Poplars,1940,86,NA,6,27,0,0,4.5,4.5,14.5,14.5,14.5,24.5,0,14.5,,0,0,0,1,0,0,0
2720,Anne of the Indies,1951,87,NA,6.5,64,0,4.5,4.5,4.5,14.5,14.5,24.5,24.5,14.5,4.5,,1,0,0,1,0,1,0
2721,Anne of the Thousand Days,1969,145,NA,7.2,785,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
2722,Anni ribelli,1996,109,NA,5.6,11,4.5,0,0,0,24.5,34.5,14.5,0,0,4.5,,0,0,0,1,0,1,0
2723,Anni ruggenti,1962,110,NA,6.1,20,14.5,0,0,0,0,4.5,34.5,34.5,0,24.5,,0,0,1,0,0,0,0
2724,Annibale,1960,103,NA,4.8,63,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,0,14.5,,1,0,0,1,0,0,0
2725,Annie,1982,126,50000000,5.7,3475,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
2726,Annie Brocoli dans les fonds marins,2003,78,NA,4.2,12,45.5,0,0,0,4.5,0,24.5,4.5,0,4.5,,0,0,1,0,0,0,0
2727,Annie Get Your Gun,1950,107,3768785,7.2,529,4.5,4.5,4.5,4.5,4.5,4.5,24.5,14.5,14.5,24.5,,0,0,1,0,0,1,0
2728,Annie Hall,1977,93,4000000,8.3,21462,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,,0,0,1,0,0,1,0
2729,Annie Oakley,1935,92,NA,6.7,128,4.5,0,4.5,4.5,14.5,14.5,24.5,24.5,4.5,4.5,,0,0,0,1,0,0,0
2730,Annie Was a Wonder,1948,11,NA,6.3,14,0,0,0,0,24.5,14.5,24.5,24.5,4.5,0,,0,0,0,0,0,0,1
2731,Annie's Coming Out,1984,96,NA,5.7,34,0,0,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
2732,Annigoni: Portrait of an Artist,1995,94,NA,8.2,6,14.5,0,0,0,0,0,0,14.5,0,64.5,,0,0,0,0,0,0,0
2733,"Annihilation of Fish, The",1999,108,NA,5.5,47,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,34.5,R,0,0,0,0,0,1,0
2734,"Annihilators, The",1985,84,NA,3,44,34.5,4.5,14.5,14.5,14.5,4.5,4.5,0,0,14.5,,1,0,0,0,0,0,0
2735,Anniversary,1989,12,NA,5.9,6,0,0,14.5,14.5,14.5,14.5,14.5,0,14.5,0,,0,1,0,0,0,0,1
2736,"Anniversary Party, The",2001,115,NA,6.4,3057,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,R,0,0,1,1,0,0,0
2737,"Anniversary, The",1968,95,NA,6.6,226,4.5,0,4.5,4.5,4.5,14.5,14.5,14.5,24.5,24.5,,0,0,1,0,0,0,0
2738,"Anniversary, The",2003,27,NA,8.2,12,0,0,0,0,0,4.5,0,4.5,24.5,45.5,,0,0,0,0,0,0,1
2739,Anno 2020 - I gladiatori del futuro,1982,91,NA,3.9,68,24.5,14.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,,1,0,0,0,0,0,0
2740,Anno 79: La distruzione di Ercolano,1962,113,NA,4.6,6,0,14.5,0,14.5,34.5,0,0,0,34.5,0,,0,0,0,1,0,0,0
2741,Anno uno,1974,115,NA,5.3,14,0,0,14.5,4.5,4.5,24.5,24.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
2742,Anno zero - guerra nello spazio,1977,89,NA,3.2,23,34.5,4.5,24.5,4.5,4.5,4.5,4.5,0,0,4.5,,0,0,0,0,0,0,0
2743,Annonsera!,1936,76,NA,6,13,0,0,0,0,4.5,44.5,24.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
2744,"Announcement, The",2000,90,NA,6,8,0,14.5,0,0,0,24.5,14.5,0,0,45.5,,0,0,0,1,0,0,0
2745,"Ano natsu, ichiban shizukana umi",1991,101,NA,7.5,558,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,0,0,1,0
2746,Anolit,2002,25,NA,6.2,16,4.5,0,4.5,0,14.5,4.5,14.5,14.5,14.5,14.5,,0,0,0,1,0,0,1
2747,Anonimo veneziano,1970,91,NA,6.3,46,4.5,0,4.5,4.5,14.5,4.5,24.5,14.5,14.5,24.5,,0,0,0,1,0,1,0
2748,Anonymous,1993,71,NA,7.5,7,14.5,0,0,0,14.5,14.5,0,0,0,45.5,,0,0,0,0,0,0,0
2749,Anonymous,2004,82,NA,6.1,20,14.5,14.5,14.5,14.5,4.5,4.5,14.5,0,4.5,14.5,,0,0,0,1,0,0,0
2750,Anonymously Yours,2002,90,NA,6.9,13,0,0,0,0,14.5,14.5,24.5,24.5,4.5,14.5,,0,0,0,0,1,0,0
2751,Another 48 Hrs.,1990,93,NA,5.1,4569,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,,1,0,1,1,0,0,0
2752,Another Bad Day for Philip Jenkins,1994,3,NA,3.5,6,14.5,0,0,34.5,14.5,14.5,14.5,0,0,0,,0,1,0,0,0,0,1
2753,Another Chance,1989,99,NA,5,51,4.5,4.5,4.5,14.5,14.5,4.5,4.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
2754,Another Country,1984,90,NA,7.1,845,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,34.5,,0,0,0,1,0,1,0
2755,Another Dawn,1937,73,NA,5.8,62,0,4.5,4.5,14.5,4.5,44.5,14.5,14.5,4.5,4.5,,0,0,0,1,0,1,0
2756,Another Day at the Races,1975,88,NA,3.8,11,0,14.5,0,14.5,14.5,4.5,0,4.5,0,24.5,,0,0,1,0,0,0,0
2757,Another Day in Paradise,1998,101,NA,6.3,1872,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
2758,"Another Day, Another Man",1966,70,NA,4,45,14.5,4.5,4.5,4.5,4.5,14.5,4.5,4.5,4.5,24.5,,0,0,0,1,0,0,0
2759,Another Face,1935,69,NA,6.1,16,0,4.5,4.5,4.5,14.5,14.5,34.5,14.5,0,0,,0,0,1,1,0,0,0
2760,Another Fine Mess,1930,28,NA,7.5,188,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0,1
2761,Another Froggy Evening,1995,9,NA,7.1,23,0,4.5,0,0,14.5,14.5,14.5,4.5,4.5,34.5,,0,1,1,0,0,0,1
2762,Another Girl Another Planet,1992,62,NA,4.8,30,0,14.5,14.5,0,4.5,14.5,14.5,14.5,4.5,24.5,,0,0,0,0,0,0,0
2763,Another Language,1933,77,272297,6.6,12,4.5,0,0,4.5,4.5,14.5,24.5,24.5,4.5,0,,0,0,0,1,0,0,0
2764,Another Life,2001,101,NA,6.9,71,4.5,4.5,0,4.5,4.5,24.5,24.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
2765,Another Man's Poison,1952,90,NA,6.5,230,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,24.5,4.5,,0,0,0,1,0,0,0
2766,Another Part of the Forest,1948,107,NA,6.9,44,0,4.5,0,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
2767,Another Planet,1999,93,NA,7.2,8,0,0,0,14.5,0,14.5,24.5,24.5,24.5,0,,0,0,0,1,0,0,0
2768,Another Stakeout,1993,105,NA,5.2,2332,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
2769,Another State of Mind,1984,78,NA,8,67,0,0,0,4.5,4.5,4.5,14.5,14.5,24.5,34.5,,0,0,0,0,1,0,0
2770,Another Thin Man,1939,103,NA,7.4,653,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,,0,0,1,1,0,1,0
2771,"Another Time, Another Place",1958,98,NA,5,57,4.5,0,14.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
2772,"Another Time, Another Place",1983,118,NA,5.6,50,4.5,0,0,4.5,24.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
2773,Another Woman,1988,84,10000000,7.2,1380,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
2774,Another You,1991,94,26000000,4.4,398,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
2775,Ansatsu,1964,104,NA,7.2,9,0,0,0,14.5,0,14.5,34.5,14.5,14.5,24.5,,1,0,0,1,0,0,0
2776,Ansichten eines Clowns,1976,111,NA,6.4,27,0,4.5,4.5,4.5,4.5,24.5,4.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
2777,Ansikte mot ansikte,1976,136,NA,7.1,218,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
2778,Ansiktet,1958,107,NA,7.5,571,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,,0,0,0,1,0,0,0
2779,Ant Pasted,1953,7,NA,7.3,27,0,0,0,0,4.5,14.5,34.5,24.5,4.5,4.5,,0,1,1,0,0,0,1
2780,Antagonia,2003,9,NA,7.8,10,0,0,0,0,0,24.5,14.5,64.5,14.5,0,,0,1,0,0,0,0,1
2781,Antarctica,1991,40,NA,7.3,78,0,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0,0,0,0,1,0,1
2782,Antares,2004,119,NA,6.8,46,4.5,0,0,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
2783,Antarjali Jatra,1987,130,NA,3,5,0,0,24.5,0,0,0,0,0,44.5,44.5,,0,0,0,0,0,0,0
2784,Ante,1977,86,NA,5.8,13,4.5,0,0,0,14.5,44.5,14.5,4.5,0,4.5,,0,0,0,1,0,0,0
2785,Ante geia,1990,93,NA,6.9,10,0,0,0,0,14.5,34.5,34.5,24.5,14.5,0,,0,0,0,1,0,1,0
2786,Antebios,1998,14,NA,7.3,25,0,0,0,0,4.5,24.5,4.5,24.5,24.5,24.5,,1,0,0,0,0,0,1
2787,Antenneforeningen,1999,50,NA,5.7,67,4.5,4.5,4.5,14.5,24.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
2788,Antes llega la muerte,1964,98,NA,4.6,6,0,0,0,34.5,14.5,0,45.5,0,0,0,,0,0,0,0,0,0,0
2789,Anthar l'invincibile,1964,114,NA,5,23,14.5,0,14.5,24.5,4.5,4.5,0,14.5,0,4.5,,1,0,0,0,0,0,0
2790,Anthem,1994,9,NA,5.3,6,0,14.5,0,0,45.5,34.5,0,0,0,0,,0,0,0,0,0,0,1
2791,Anthem,1997,124,NA,5.1,36,14.5,0,4.5,4.5,14.5,4.5,14.5,4.5,4.5,24.5,,0,0,0,0,1,0,0
2792,Anthony Adverse,1936,141,1050500,6.7,203,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,,0,0,0,1,0,1,0
2793,Anthony Zimmer,2005,90,NA,6.5,67,4.5,4.5,0,4.5,4.5,24.5,24.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
2794,Anthony's Desire,1993,90,NA,3.2,37,24.5,4.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
2795,Anthracite,1980,90,NA,6,7,0,0,0,0,24.5,14.5,24.5,14.5,14.5,0,,0,0,0,1,0,0,0
2796,Anthrakitis,1998,10,NA,7.2,7,14.5,0,14.5,0,0,0,0,45.5,0,14.5,,0,0,0,0,0,0,1
2797,Anthrax,2001,90,2500000,4.1,49,14.5,4.5,14.5,14.5,24.5,14.5,4.5,0,0,4.5,,0,0,0,1,0,0,0
2798,"Anthropaki, To",1969,81,NA,6.2,13,4.5,0,0,4.5,0,14.5,34.5,34.5,0,4.5,,0,0,1,0,0,0,0
2799,Anthropophagous 2000,1999,80,NA,4.1,56,24.5,4.5,4.5,4.5,14.5,4.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
2800,"Anthropos gia oles tis douleies, O",1966,118,NA,5.9,7,0,14.5,0,14.5,14.5,14.5,0,24.5,14.5,0,,0,0,1,0,0,0,0
2801,"Anthropos me to garyfallo, O",1980,125,NA,7.5,26,4.5,0,0,0,14.5,4.5,4.5,14.5,24.5,34.5,,0,0,0,1,0,0,0
2802,"Anthropos pou espage plaka, O",1972,94,NA,5.4,12,0,4.5,0,4.5,24.5,34.5,24.5,0,0,0,,0,0,1,0,0,0,0
2803,"Anthropos pou etrehe poly, O",1973,81,NA,7.4,10,0,0,0,0,14.5,14.5,14.5,45.5,24.5,0,,0,0,1,0,0,0,0
2804,"Anthropos pou gyrise apo tin zesti, O",1972,89,NA,5.9,11,0,4.5,4.5,0,4.5,34.5,24.5,4.5,0,0,,0,0,1,0,0,0,0
2805,Anti Glamour,1990,15,NA,8.8,12,0,0,4.5,0,0,0,4.5,4.5,24.5,45.5,,0,0,0,0,1,0,1
2806,Anticipating Sarah,1997,8,NA,4.6,30,4.5,14.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,0,1,0,0,1
2807,Anticipation of the Night,1962,42,NA,7.2,26,4.5,4.5,0,0,14.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,0,0,0,1
2808,"Anticristo, L'",1974,112,NA,4.3,124,4.5,4.5,14.5,4.5,24.5,4.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
2809,"Antidote, L'",2005,107,NA,4.8,23,4.5,0,4.5,4.5,34.5,4.5,34.5,14.5,0,0,,0,0,1,0,0,0,0
2810,Antigone/Rites of Passion,1991,85,NA,2.2,11,84.5,4.5,0,0,0,0,0,0,4.5,0,,0,0,0,0,0,0,0
2811,Antigoni,1961,93,NA,6.5,22,0,0,0,0,14.5,14.5,14.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
2812,Antikiller,2002,114,5000000,5.4,231,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,,1,0,0,0,0,0,0
2813,Antikiller 2: Antiterror,2003,114,NA,5.5,33,24.5,4.5,0,4.5,14.5,24.5,14.5,4.5,0,4.5,,1,0,0,0,0,0,0
2814,Antilles sur Seine,2000,104,NA,4.4,56,4.5,14.5,14.5,14.5,14.5,14.5,0,4.5,0,4.5,,0,0,1,0,0,0,0
2815,Antipoden,2001,7,NA,7.1,7,0,0,0,0,24.5,14.5,0,24.5,24.5,0,,0,1,0,0,0,0,1
2816,"Antique Shop, The",1931,9,NA,7.6,14,0,0,0,4.5,24.5,0,24.5,24.5,14.5,4.5,,0,0,1,0,0,0,1
2817,Antitrust,2001,108,30000000,6,7326,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0
2818,"Antman, The",2002,94,800000,7.2,53,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,24.5,,0,0,1,0,0,0,0
2819,Antoine et Antoinette,1947,78,NA,8.1,50,0,4.5,0,0,0,4.5,14.5,34.5,24.5,24.5,,0,0,0,0,0,0,0
2820,Anton,1973,77,NA,4.2,6,0,45.5,0,0,0,0,14.5,0,0,34.5,,0,0,0,1,0,0,0
2821,Anton,1996,80,NA,6.4,31,4.5,0,0,4.5,4.5,14.5,14.5,14.5,24.5,4.5,,0,0,0,1,0,0,0
2822,Anton Ivanovich serditsya,1941,80,NA,9.4,5,0,0,0,0,0,0,0,24.5,24.5,64.5,,0,0,1,0,0,0,0
2823,"Anton Spelec, ostrostrelec",1932,85,NA,7.8,35,0,0,0,0,4.5,14.5,24.5,4.5,14.5,44.5,,0,0,1,0,0,0,0
2824,"Anton, der Letzte",1939,91,NA,6.1,8,0,0,0,0,14.5,34.5,14.5,14.5,0,24.5,,0,0,1,0,0,0,0
2825,"Anton, der Zauberer",1978,102,NA,7.3,14,0,4.5,0,0,14.5,0,24.5,44.5,14.5,0,,0,0,1,1,0,1,0
2826,Antonia,1995,102,NA,7.4,2320,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,1,1,0,0,0
2827,Antonia,2001,100,NA,7.5,10,34.5,0,0,14.5,0,45.5,0,0,14.5,0,,0,0,0,1,0,0,0
2828,Antonia and Jane,1991,71,NA,7.2,144,4.5,4.5,0,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
2829,Antonieta,1982,104,NA,5.9,72,24.5,4.5,4.5,4.5,14.5,4.5,14.5,24.5,4.5,4.5,,0,0,0,1,0,0,0
2830,Antonio,1973,82,NA,4.7,9,24.5,0,0,0,14.5,34.5,0,0,0,34.5,,0,0,1,0,0,0,0
2831,Antony and Cleopatra,1972,160,1600000,4.9,84,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
2832,Antropophagus,1980,82,NA,4.7,363,14.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
2833,Ants in the Pantry,1936,17,NA,8,88,4.5,4.5,4.5,0,4.5,4.5,14.5,34.5,14.5,24.5,,0,0,1,0,0,0,1
2834,Ants in the Plants,1940,7,NA,6.6,13,0,0,0,34.5,24.5,14.5,0,0,24.5,4.5,,0,1,0,0,0,0,1
2835,Ants!,2002,14,NA,8.5,6,0,0,0,0,0,0,34.5,14.5,14.5,34.5,,0,0,1,0,0,0,1
2836,Antwone Fisher,2002,117,12500000,7.4,4472,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,PG-13,0,0,0,1,0,0,0
2837,Antychryst,2002,27,NA,6.5,16,4.5,4.5,0,0,4.5,4.5,14.5,14.5,34.5,14.5,,0,0,0,1,0,0,1
2838,Antz,1998,83,60000000,7,16312,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,PG,0,1,1,0,0,0,0
2839,Anubhav,1971,139,NA,6.7,14,0,0,0,0,0,24.5,4.5,14.5,24.5,24.5,,0,0,0,1,0,0,0
2840,Anupama,1966,148,NA,8.2,15,0,0,0,0,0,0,4.5,4.5,44.5,44.5,,0,0,0,1,0,0,0
2841,Anuradha,1960,141,NA,9.2,6,0,0,0,0,0,0,14.5,0,34.5,45.5,,0,0,0,1,0,0,0
2842,Anus Magillicutty,2003,70,5000,1.8,488,74.5,4.5,4.5,0,4.5,0,4.5,4.5,4.5,24.5,,0,0,1,0,0,1,0
2843,"Anvil Chorus Girl, The",1944,7,NA,8.3,5,0,0,0,0,0,24.5,24.5,24.5,44.5,0,,0,1,1,0,0,0,1
2844,Any Bonds Today?,1942,3,NA,6.9,43,4.5,0,4.5,4.5,4.5,14.5,14.5,24.5,4.5,24.5,,0,1,0,0,0,0,1
2845,Any Given Sunday,1999,156,62000000,6.4,19531,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
2846,Any Little Girl That's a Nice Little Girl,1931,7,NA,5.2,9,0,0,14.5,14.5,45.5,14.5,14.5,0,0,0,,0,1,0,0,0,0,1
2847,Any Man's Death,1988,105,NA,3.3,19,24.5,4.5,24.5,4.5,24.5,14.5,4.5,0,0,0,,0,0,0,1,0,0,0
2848,Any Number Can Play,1949,112,1465641,6.3,67,4.5,0,0,4.5,4.5,34.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
2849,Any Old Port!,1932,20,NA,7.3,84,4.5,0,4.5,4.5,4.5,4.5,44.5,24.5,14.5,4.5,,0,0,1,0,0,0,1
2850,Any Rags,1932,6,NA,7.4,11,4.5,0,0,0,4.5,4.5,14.5,24.5,4.5,14.5,,0,1,0,0,0,0,1
2851,"Any Time, Any Place",1981,92,NA,7.2,22,4.5,4.5,4.5,0,4.5,0,4.5,24.5,14.5,34.5,,0,0,0,0,0,0,0
2852,"Any Time, Any Play",1989,96,NA,1.9,6,14.5,64.5,14.5,0,0,0,0,0,0,0,,0,0,0,1,0,0,0
2853,Any Way the Wind Blows,2003,127,NA,7.1,559,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,14.5,,0,0,1,1,0,0,0
2854,Any Wednesday,1966,109,NA,5.6,146,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
2855,Any Which Way You Can,1980,116,NA,5.3,1958,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
2856,Anyangde guer,2001,84,NA,6.8,88,0,4.5,4.5,4.5,14.5,14.5,24.5,24.5,14.5,4.5,,0,0,0,1,0,0,0
2857,Anybody's Son Will Do,1983,57,NA,8.6,5,0,0,0,0,0,24.5,0,24.5,24.5,44.5,,0,0,0,0,1,0,0
2858,Anybody's Woman,1930,80,NA,6,17,4.5,0,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
2859,Anyone,2004,8,1000,9.6,7,0,0,0,0,0,0,0,0,44.5,45.5,,0,0,0,1,0,0,1
2860,Anything Can Happen,1952,107,NA,5.6,17,0,4.5,0,0,24.5,24.5,4.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
2861,Anything Else,2003,108,18000000,6.5,3678,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,0,0,1,0
2862,Anything Goes,1936,92,1100000,6,44,4.5,0,4.5,4.5,4.5,24.5,24.5,4.5,4.5,24.5,,0,0,1,0,0,0,0
2863,Anything Goes,1956,106,NA,5.5,83,4.5,0,4.5,14.5,24.5,14.5,14.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
2864,Anything Once,1997,23,NA,4.1,33,4.5,4.5,0,4.5,4.5,4.5,14.5,14.5,34.5,14.5,,0,0,1,0,0,0,1
2865,Anything for John,1995,64,NA,7.2,17,0,0,0,0,0,14.5,14.5,14.5,24.5,24.5,,0,0,0,0,1,0,0
2866,Anything for Love,1993,91,NA,5.2,285,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,24.5,,0,0,1,0,0,0,0
2867,Anywhere But Here,1999,114,23000000,5.9,4007,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0
2868,Anzio,1968,117,NA,5.6,332,4.5,4.5,4.5,14.5,14.5,24.5,24.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
2869,"Anzuelo, El",1996,85,NA,7.3,35,4.5,4.5,0,0,4.5,4.5,34.5,24.5,4.5,14.5,,0,0,1,0,0,0,0
2870,Ao Fim da Noite,1991,95,NA,6.8,11,0,0,0,4.5,0,24.5,4.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
2871,Ao no hono-o,2003,116,NA,7.1,78,0,0,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,1,0
