66
Xbox One Games,$10,CHICO CA,posted:2018-02-21 15:14,https://chico.craigslist.org/ele/d/xbox-one-games/6505375060.html
Skylanders,$200,ORLAND,posted:2018-03-07 13:44,https://chico.craigslist.org/vgm/d/skylanders/6522291816.html
Dell Vostro 230s Desktops 2 of them freshly refurbished,$100,CHICO,posted:2018-03-01 20:04,https://chico.craigslist.org/sys/d/dell-vostro-230s-desktops-2/6491916269.html
2tb Xbox one GOW edition,$350,PARADISE,posted:2018-02-17 13:51,https://chico.craigslist.org/vgm/d/2tb-xbox-one-gow-edition/6469587337.html
Huge sale,$1,CHICO,posted:2018-02-24 08:29,https://chico.craigslist.org/gms/d/huge-sale/6508516014.html
Xbox 360 3 controllers 5 games,$290,PARADISE CA,posted:2018-02-15 20:21,https://chico.craigslist.org/ele/d/xboxcontrollers-5-games/6498253439.html
32" RCA TV,$50,None,posted:2018-02-21 10:50,https://chico.craigslist.org/app/d/32-rca-tv/6505013721.html
xbox one with 2 controllers,$250,None,posted:2018-02-13 18:25,https://chico.craigslist.org/ele/d/xbox-one-with-2-controllers/6495804856.html
XBOX Consoles,$25,CHICO,posted:2018-02-13 17:37,https://chico.craigslist.org/vgm/d/xbox-consoles/6495765439.html
Lot of (18) XBOX Games,$50,CHICO,posted:2018-02-13 13:07,https://chico.craigslist.org/vgm/d/lot-of-18-xbox-games/6495466818.html
XBOX Controllers - $5 each,$5,CHICO,posted:2018-02-13 12:56,https://chico.craigslist.org/vgm/d/xbox-controllers-5-each/6495451625.html
Guitar hero live,$40,None,posted:2018-02-14 12:16,https://chico.craigslist.org/vgm/d/guitar-hero-live/6496586491.html
1 Year of xbox live gold,$40,MAGALIA,posted:2018-02-12 12:31,https://chico.craigslist.org/vgm/d/1-year-of-xbox-live-gold/6494147575.html
BUY SELL & TRADE VIDEO GAMES!!!!,$1,CHICO,posted:2018-02-12 14:08,https://chico.craigslist.org/vgm/d/buy-sell-trade-video-games/6459861556.html
Xbox 360 Elite 250GB model w/28 games and kinect,$100,None,posted:2018-03-29 14:27,https://redding.craigslist.org/vgm/d/xbox-360-elite-250gb-model-28/6546671960.html
